x y time dx dy dt dr^2 TotalDisplacementSquared
12
2.12E-05 2.04E-05 0 0 0 0 0 0
2.24E-05 1.96E-05 0.0660066 1.2E-06 -8E-07 0.0660066 2.08E-12 2.08E-12
2.36E-05 1.92E-05 0.1330133 1.2E-06 -4E-07 0.0670067 1.6E-12 7.2E-12
2.36E-05 2E-05 0.1660166 0 8E-07 0.0330033 6.4E-13 5.92E-12
2.24E-05 2.08E-05 0.2330233 -1.2E-06 8E-07 0.0670067 2.08E-12 1.6E-12
2.08E-05 2E-05 0.2670267 -1.6E-06 -8E-07 0.0340034 3.2E-12 3.2E-13
1.72E-05 1.88E-05 0.3330333 -3.6E-06 -1.2E-06 0.0660066 1.44E-11 1.856E-11
1.64E-05 1.72E-05 0.3660366 -8E-07 -1.6E-06 0.0330033 3.2E-12 3.328E-11
1.56E-05 1.64E-05 0.40004 -8E-07 -8E-07 0.0340034 1.28E-12 4.736E-11
1.4E-05 1.6E-05 0.4330433 -1.6E-06 -4E-07 0.0330033 2.72E-12 7.12E-11
1.32E-05 1.48E-05 0.4660466 -8E-07 -1.2E-06 0.0330033 2.08E-12 9.536E-11
1.2E-05 1.2E-05 0.5660566 -1.2E-06 -2.8E-06 0.10001 9.28E-12 1.552E-10
11
2.52E-05 3.88E-05 0 0 0 0 0 0
2.52E-05 3.96E-05 0.0990099 0 8E-07 0.0990099 6.4E-13 6.4E-13
2.36E-05 4E-05 0.1330133 -1.6E-06 4E-07 0.0340034 2.72E-12 4E-12
2.2E-05 4E-05 0.1660166 -1.6E-06 0 0.0330033 2.56E-12 1.168E-11
2.16E-05 3.92E-05 0.1990199 -4E-07 -8E-07 0.0330033 8E-13 1.312E-11
2.12E-05 3.64E-05 0.2990299 -4E-07 -2.8E-06 0.10001 8E-12 2.176E-11
2.16E-05 3.52E-05 0.3330333 4E-07 -1.2E-06 0.0340034 1.6E-12 2.592E-11
2.32E-05 3.24E-05 0.4330433 1.6E-06 -2.8E-06 0.10001 1.04E-11 4.496E-11
2.28E-05 3.2E-05 0.4660466 -4E-07 -4E-07 0.0330033 3.2E-13 5.2E-11
2.28E-05 3.12E-05 0.4990499 0 -8E-07 0.0330033 6.4E-13 6.352E-11
2.28E-05 2.88E-05 0.5660566 0 -2.4E-06 0.0670067 5.76E-12 1.0576E-10
11
1.48E-05 4.56E-05 0 0 0 0 0 0
1.48E-05 4.48E-05 0.0670067 0 -8E-07 0.0670067 6.4E-13 6.4E-13
1.56E-05 4.56E-05 0.10001 8E-07 8E-07 0.0330033 1.28E-12 6.4E-13
1.84E-05 4.84E-05 0.20002 2.8E-06 2.8E-06 0.10001 1.568E-11 2.08E-11
1.96E-05 4.8E-05 0.30003 1.2E-06 -4E-07 0.10001 1.6E-12 2.88E-11
1.92E-05 4.8E-05 0.3330333 -4E-07 0 0.0330033 1.6E-13 2.512E-11
1.96E-05 4.8E-05 0.3660366 4E-07 0 0.0330033 1.6E-13 2.88E-11
1.96E-05 4.8E-05 0.40004 0 0 0.0340034 0 2.88E-11
1.96E-05 4.84E-05 0.4330433 0 4E-07 0.0330033 1.6E-13 3.088E-11
1.88E-05 4.8E-05 0.4660466 -8E-07 -4E-07 0.0330033 8E-13 2.176E-11
1.88E-05 4.84E-05 0.50005 0 4E-07 0.0340034 1.6E-13 2.384E-11
11
3.92E-05 4.2E-05 0 0 0 0 0 0
4.04E-05 4.2E-05 0.10001 1.2E-06 0 0.10001 1.44E-12 1.44E-12
4E-05 4.24E-05 0.1340134 -4E-07 4E-07 0.0340034 3.2E-13 8E-13
4E-05 4.28E-05 0.1670167 0 4E-07 0.0330033 1.6E-13 1.28E-12
4.04E-05 4.36E-05 0.20002 4E-07 8E-07 0.0330033 8E-13 4E-12
4.08E-05 4.44E-05 0.2340234 4E-07 8E-07 0.0340034 8E-13 8.32E-12
4.2E-05 4.52E-05 0.30003 1.2E-06 8E-07 0.0660066 2.08E-12 1.808E-11
4.16E-05 4.56E-05 0.3340334 -4E-07 4E-07 0.0340034 3.2E-13 1.872E-11
4.04E-05 4.6E-05 0.3670367 -1.2E-06 4E-07 0.0330033 1.6E-12 1.744E-11
3.88E-05 4.68E-05 0.4330433 -1.6E-06 8E-07 0.0660066 3.2E-12 2.32E-11
4.04E-05 4.76E-05 0.50005 1.6E-06 8E-07 0.0670067 3.2E-12 3.28E-11
12
8.8E-06 1.96E-05 0 0 0 0 0 0
1E-05 2.04E-05 0.10001 1.2E-06 8E-07 0.10001 2.08E-12 2.08E-12
1.04E-05 2E-05 0.1660166 4E-07 -4E-07 0.0660066 3.2E-13 2.72E-12
1E-05 1.88E-05 0.1990199 -4E-07 -1.2E-06 0.0330033 1.6E-12 2.08E-12
9.2E-06 1.52E-05 0.2990299 -8E-07 -3.6E-06 0.10001 1.36E-11 1.952E-11
9.2E-06 1.4E-05 0.3660366 0 -1.2E-06 0.0670067 1.44E-12 3.152E-11
8.4E-06 1.16E-05 0.4330433 -8E-07 -2.4E-06 0.0670067 6.4E-12 6.416E-11
8E-06 1.04E-05 0.4660466 -4E-07 -1.2E-06 0.0330033 1.6E-12 8.528E-11
8.8E-06 1E-05 0.4990499 8E-07 -4E-07 0.0330033 8E-13 9.216E-11
1.16E-05 8E-06 0.5990599 2.8E-06 -2E-06 0.10001 1.184E-11 1.424E-10
1.36E-05 6E-06 0.6660666 2E-06 -2E-06 0.0670067 8E-12 2.08E-10
1.48E-05 3.2E-06 0.7190719 1.2E-06 -2.8E-06 0.0530053 9.28E-12 3.0496E-10
13
3.32E-05 4.8E-05 0 0 0 0 0 0
3.36E-05 4.72E-05 0.1330133 4E-07 -8E-07 0.1330133 8E-13 8E-13
3.44E-05 4.72E-05 0.20002 8E-07 0 0.0670067 6.4E-13 2.08E-12
3.48E-05 4.72E-05 0.2660266 4E-07 0 0.0660066 1.6E-13 3.2E-12
3.52E-05 4.72E-05 0.3330333 4E-07 0 0.0670067 1.6E-13 4.64E-12
3.48E-05 4.8E-05 0.50005 -4E-07 8E-07 0.1670167 8E-13 2.56E-12
3.48E-05 4.84E-05 0.5330533 0 4E-07 0.0330033 1.6E-13 2.72E-12
3.52E-05 4.84E-05 0.5660566 4E-07 0 0.0330033000000001 1.6E-13 4.16E-12
3.52E-05 4.84E-05 0.60006 0 0 0.0340033999999999 0 4.16E-12
3.56E-05 4.8E-05 0.6330633 4E-07 -4E-07 0.0330033000000001 3.2E-13 5.76E-12
3.52E-05 4.8E-05 0.70007 -4E-07 0 0.0670067 1.6E-13 4E-12
3.6E-05 4.8E-05 0.7660766 8E-07 0 0.0660066 6.4E-13 7.84E-12
3.8E-05 4.84E-05 0.9660966 2E-06 4E-07 0.20002 4.16E-12 2.32E-11
12
2.44E-05 2.24E-05 0 0 0 0 0 0
2.52E-05 2.2E-05 0.0660066 8E-07 -4E-07 0.0660066 8E-13 8E-13
2.6E-05 2.12E-05 0.1660166 8E-07 -8E-07 0.10001 1.28E-12 4E-12
2.68E-05 2.08E-05 0.2330233 8E-07 -4E-07 0.0670067 8E-13 8.32E-12
2.68E-05 1.92E-05 0.2660266 0 -1.6E-06 0.0330033 2.56E-12 1.6E-11
2.64E-05 1.6E-05 0.3350335 -4E-07 -3.2E-06 0.0690069 1.04E-11 4.496E-11
2.6E-05 1.32E-05 0.3990399 -4E-07 -2.8E-06 0.0640064 8E-12 8.72E-11
2.52E-05 9.6E-06 0.4660466 -8E-07 -3.6E-06 0.0670067 1.36E-11 1.6448E-10
2.56E-05 9.6E-06 0.50005 4E-07 0 0.0340034 1.6E-13 1.6528E-10
2.68E-05 1E-05 0.5660566 1.2E-06 4E-07 0.0660066 1.6E-12 1.5952E-10
2.64E-05 1.04E-05 0.5990599 -4E-07 4E-07 0.0330033 3.2E-13 1.48E-10
2.44E-05 1.28E-05 0.6990699 -2E-06 2.4E-06 0.10001 9.76E-12 9.216E-11
12
8.4E-06 4.44E-05 0 0 0 0 0 0
9.2E-06 4.52E-05 0.0670067 8E-07 8E-07 0.0670067 1.28E-12 1.28E-12
1.08E-05 4.52E-05 0.1660166 1.6E-06 0 0.0990099 2.56E-12 6.4E-12
1.24E-05 4.64E-05 0.2660266 1.6E-06 1.2E-06 0.10001 4E-12 2E-11
1.28E-05 4.68E-05 0.2990299 4E-07 4E-07 0.0330033 3.2E-13 2.512E-11
1.24E-05 4.76E-05 0.40004 -4E-07 8E-07 0.1010101 8E-13 2.624E-11
1.08E-05 4.8E-05 0.4660466 -1.6E-06 4E-07 0.0660066 2.72E-12 1.872E-11
7.6E-06 4.8E-05 0.5660566 -3.2E-06 0 0.10001 1.024E-11 1.36E-11
3.6E-06 4.76E-05 0.6660666 -4E-06 -4E-07 0.10001 1.616E-11 3.328E-11
3.6E-06 4.8E-05 0.6990699 0 4E-07 0.0330033000000001 1.6E-13 3.6E-11
4.8E-06 4.76E-05 0.7330733 1.2E-06 -4E-07 0.0340033999999999 1.6E-12 2.32E-11
8E-06 4.72E-05 0.8330833 3.2E-06 -4E-07 0.10001 1.04E-11 8E-12
12
1.6E-05 8E-07 0 0 0 0 0 0
1.64E-05 0 0.0750075 4E-07 -8E-07 0.0750075 8E-13 8E-13
1.68E-05 4E-07 0.1330133 4E-07 4E-07 0.0580058 3.2E-13 8E-13
1.84E-05 8E-07 0.1660166 1.6E-06 4E-07 0.0330033 2.72E-12 5.76E-12
2E-05 2E-06 0.20002 1.6E-06 1.2E-06 0.0340034 4E-12 1.744E-11
