x y time dx dy dt dr^2 TotalDisplacementSquared
15
2.2E-06 1.3E-05 0 0 0 0 0 0
2E-06 1.28E-05 0.10001 -2E-07 -2E-07 0.10001 8E-14 8E-14
1.8E-06 1.32E-05 0.1660166 -2E-07 4E-07 0.0660066 2E-13 2E-13
2.2E-06 1.38E-05 0.2660266 4E-07 6E-07 0.10001 5.2E-13 6.4E-13
2.4E-06 1.42E-05 0.3660366 2E-07 4E-07 0.10001 2E-13 1.48E-12
2.8E-06 1.42E-05 0.3990399 4E-07 0 0.0330033 1.6E-13 1.8E-12
3E-06 1.38E-05 0.4660466 2E-07 -4E-07 0.0670067 2E-13 1.28E-12
3E-06 1.42E-05 0.4990499 0 4E-07 0.0330033 1.6E-13 2.08E-12
3E-06 1.4E-05 0.5320532 0 -2E-07 0.0330033 4E-14 1.64E-12
3.2E-06 1.36E-05 0.5660566 2E-07 -4E-07 0.0340034 2E-13 1.36E-12
3E-06 1.32E-05 0.6330633 -2E-07 -4E-07 0.0670067 2E-13 6.8E-13
3E-06 1.34E-05 0.6660666 0 2E-07 0.0330033 4E-14 8E-13
3E-06 1.32E-05 0.6990699 0 -2E-07 0.0330033000000001 4E-14 6.8E-13
3E-06 1.4E-05 0.7320732 0 8E-07 0.0330033 6.4E-13 1.64E-12
1.8E-06 1.4E-05 0.7660766 -1.2E-06 0 0.0340034 1.44E-12 1.16E-12
14
5.2E-06 1.3E-05 0 0 0 0 0 0
5E-06 1.3E-05 0.0660066 -2E-07 0 0.0660066 4E-14 4E-14
5E-06 1.28E-05 0.10001 0 -2E-07 0.0340034 4E-14 8E-14
5E-06 1.26E-05 0.1660166 0 -2E-07 0.0660066 4E-14 2E-13
5E-06 1.24E-05 0.1990199 0 -2E-07 0.0330033 4E-14 4E-13
5.6E-06 1.22E-05 0.2990299 6E-07 -2E-07 0.10001 4E-13 8E-13
5.8E-06 1.2E-05 0.3330333 2E-07 -2E-07 0.0340034 8E-14 1.36E-12
5.8E-06 1.22E-05 0.3660366 0 2E-07 0.0330033 4E-14 1E-12
5.4E-06 1.26E-05 0.4330433 -4E-07 4E-07 0.0670067 3.2E-13 2E-13
5.4E-06 1.24E-05 0.4660466 0 -2E-07 0.0330033 4E-14 4E-13
5E-06 1.22E-05 0.5330533 -4E-07 -2E-07 0.0670067 2E-13 6.8E-13
5E-06 1.22E-05 0.6330633 0 0 0.10001 0 6.8E-13
5E-06 1.2E-05 0.6990699 0 -2E-07 0.0660066 4E-14 1.04E-12
5E-06 1.22E-05 0.7990799 0 2E-07 0.10001 4E-14 6.8E-13
12
1.46E-05 2E-05 0 0 0 0 0 0
1.42E-05 2.02E-05 0.0660066 -4E-07 2E-07 0.0660066 2E-13 2E-13
1.44E-05 2E-05 0.10001 2E-07 -2E-07 0.0340034 8E-14 4E-14
1.54E-05 1.96E-05 0.20002 1E-06 -4E-07 0.10001 1.16E-12 8E-13
1.5E-05 2E-05 0.2330233 -4E-07 4E-07 0.0330033 3.2E-13 1.6E-13
1.54E-05 2.02E-05 0.3330333 4E-07 2E-07 0.10001 2E-13 6.8E-13
1.54E-05 2.02E-05 0.4330433 0 0 0.10001 0 6.8E-13
1.54E-05 2.02E-05 0.50005 0 0 0.0670067 0 6.8E-13
1.54E-05 2.04E-05 0.5660566 0 2E-07 0.0660066 4E-14 8E-13
1.5E-05 2.02E-05 0.6330633 -4E-07 -2E-07 0.0670067 2E-13 2E-13
1.46E-05 2.02E-05 0.6990699 -4E-07 0 0.0660066 1.6E-13 4E-14
1.46E-05 2.02E-05 0.7330733 0 0 0.0340033999999999 0 4E-14
11
1.18E-05 1.96E-05 0 0 0 0 0 0
1.2E-05 1.92E-05 0.0340034 2E-07 -4E-07 0.0340034 2E-13 2E-13
1.22E-05 1.94E-05 0.0670067 2E-07 2E-07 0.0330033 8E-14 2E-13
1.22E-05 1.92E-05 0.10001 0 -2E-07 0.0330033 4E-14 3.2E-13
1.22E-05 1.96E-05 0.1340134 0 4E-07 0.0340034 1.6E-13 1.6E-13
1.26E-05 2.04E-05 0.20002 4E-07 8E-07 0.0660066 8E-13 1.28E-12
1.26E-05 2.02E-05 0.2330233 0 -2E-07 0.0330033 4E-14 1E-12
1.26E-05 1.96E-05 0.3330333 0 -6E-07 0.10001 3.6E-13 6.4E-13
1.26E-05 1.96E-05 0.3670367 0 0 0.0340034 0 6.4E-13
1.28E-05 1.96E-05 0.4330433 2E-07 0 0.0660066 4E-14 1E-12
1.26E-05 1.94E-05 0.5330533 -2E-07 -2E-07 0.10001 8E-14 6.8E-13
11
1.02E-05 8E-07 0 0 0 0 0 0
9.8E-06 6E-07 0.0330033 -4E-07 -2E-07 0.0330033 2E-13 2E-13
9.4E-06 4E-07 0.0660066 -4E-07 -2E-07 0.0330033 2E-13 8E-13
9.2E-06 8E-07 0.10001 -2E-07 4E-07 0.0340034 2E-13 1E-12
9E-06 1E-06 0.1330133 -2E-07 2E-07 0.0330033 8E-14 1.48E-12
9E-06 8E-07 0.20002 0 -2E-07 0.0670067 4E-14 1.44E-12
9.4E-06 6E-07 0.30003 4E-07 -2E-07 0.10001 2E-13 6.8E-13
9E-06 8E-07 0.3660366 -4E-07 2E-07 0.0660066 2E-13 1.44E-12
9E-06 1E-06 0.4330433 0 2E-07 0.0670067 4E-14 1.48E-12
9E-06 8E-07 0.4660466 0 -2E-07 0.0330033 4E-14 1.44E-12
9E-06 1E-06 0.5330533 0 2E-07 0.0670067 4E-14 1.48E-12
11
2.54E-05 1.24E-05 0 0 0 0 0 0
2.54E-05 1.24E-05 0.0330033 0 0 0.0330033 0 0
2.6E-05 1.2E-05 0.10001 6E-07 -4E-07 0.0670067 5.2E-13 5.2E-13
2.52E-05 1.26E-05 0.1670167 -8E-07 6E-07 0.0670067 1E-12 8E-14
2.5E-05 1.26E-05 0.20002 -2E-07 0 0.0330033 4E-14 2E-13
2.46E-05 1.26E-05 0.30003 -4E-07 0 0.10001 1.6E-13 6.8E-13
2.46E-05 1.18E-05 0.3660366 0 -8E-07 0.0660066 6.4E-13 1E-12
2.48E-05 1.16E-05 0.40004 2E-07 -2E-07 0.0340034 8E-14 1E-12
