x y time dx dy dt dr^2 TotalDisplacementSquared
13
3.28E-05 3E-05 0 0 0 0 0 0
3.28E-05 3.12E-05 0.0329967 0 1.2E-06 0.0329967 1.44E-12 1.44E-12
3.2E-05 3.12E-05 0.0669933 -8E-07 0 0.0339966 6.4E-13 2.08E-12
3.24E-05 3.04E-05 0.09999 4E-07 -8E-07 0.0329967 8E-13 3.2E-13
3.2E-05 3.04E-05 0.1669833 -4E-07 0 0.0669933 1.6E-13 8E-13
3.16E-05 3E-05 0.19998 -4E-07 -4E-07 0.0329967 3.2E-13 1.44E-12
3.16E-05 3E-05 0.2329767 0 0 0.0329967 0 1.44E-12
3.16E-05 3.04E-05 0.2669733 0 4E-07 0.0339966 1.6E-13 1.6E-12
3.12E-05 3E-05 0.29997 -4E-07 -4E-07 0.0329967 3.2E-13 2.56E-12
3.12E-05 3E-05 0.3659634 0 0 0.0659934 0 2.56E-12
3.16E-05 3.04E-05 0.39996 4E-07 4E-07 0.0339966 3.2E-13 1.6E-12
3.12E-05 3.04E-05 0.4329567 -4E-07 0 0.0329967 1.6E-13 2.72E-12
3.08E-05 3E-05 0.4659534 -4E-07 -4E-07 0.0329967 3.2E-13 4E-12
10
8.4E-06 3.32E-05 0 0 0 0 0 0
8.4E-06 3.32E-05 0.0329967 0 0 0.0329967 0 0
8E-06 3.36E-05 0.09999 -4E-07 4E-07 0.0669933 3.2E-13 3.2E-13
8.8E-06 3.36E-05 0.1329867 8E-07 0 0.0329967 6.4E-13 3.2E-13
8.4E-06 3.24E-05 0.1659834 -4E-07 -1.2E-06 0.0329967 1.6E-12 6.4E-13
8.8E-06 3.24E-05 0.19998 4E-07 0 0.0339966 1.6E-13 8E-13
8.4E-06 3.32E-05 0.2329767 -4E-07 8E-07 0.0329967 8E-13 0
8E-06 3.36E-05 0.2989701 -4E-07 4E-07 0.0659934 3.2E-13 3.2E-13
8.8E-06 3.36E-05 0.3329667 8E-07 0 0.0339966 6.4E-13 3.2E-13
8E-06 3.24E-05 0.4329567 -8E-07 -1.2E-06 0.09999 2.08E-12 8E-13
12
2.96E-05 3.8E-05 0 0 0 0 0 0
2.92E-05 3.8E-05 0.0329967 -4E-07 0 0.0329967 1.6E-13 1.6E-13
2.96E-05 3.8E-05 0.09999 4E-07 0 0.0669933 1.6E-13 0
2.96E-05 3.8E-05 0.1329867 0 0 0.0329967 0 0
3E-05 3.8E-05 0.1669833 4E-07 0 0.0339966 1.6E-13 1.6E-13
3.04E-05 3.8E-05 0.19998 4E-07 0 0.0329967 1.6E-13 6.4E-13
3.04E-05 3.8E-05 0.2329767 0 0 0.0329967 0 6.4E-13
3E-05 3.84E-05 0.2669733 -4E-07 4E-07 0.0339966 3.2E-13 3.2E-13
3.08E-05 3.84E-05 0.29997 8E-07 0 0.0329967 6.4E-13 1.6E-12
3.08E-05 3.8E-05 0.39996 0 -4E-07 0.09999 1.6E-13 1.44E-12
3.08E-05 3.84E-05 0.4329567 0 4E-07 0.0329967 1.6E-13 1.6E-12
3E-05 3.84E-05 0.5329467 -8E-07 0 0.09999 6.4E-13 3.2E-13
15
2.24E-05 1E-05 0 0 0 0 0 0
2.24E-05 1E-05 0.09999 0 0 0.09999 0 0
2.2E-05 1.12E-05 0.1329867 -4E-07 1.2E-06 0.0329967 1.6E-12 1.6E-12
2.2E-05 1.12E-05 0.1669833 0 0 0.0339966 0 1.6E-12
2.2E-05 1.08E-05 0.19998 0 -4E-07 0.0329967 1.6E-13 8E-13
2.12E-05 1.12E-05 0.2669733 -8E-07 4E-07 0.0669933 8E-13 2.88E-12
2.2E-05 1.12E-05 0.29997 8E-07 0 0.0329967 6.4E-13 1.6E-12
2.2E-05 1.04E-05 0.3329667 0 -8E-07 0.0329967 6.4E-13 3.2E-13
2.2E-05 1E-05 0.3659634 0 -4E-07 0.0329967 1.6E-13 1.6E-13
2.16E-05 1E-05 0.39996 -4E-07 0 0.0339966 1.6E-13 6.4E-13
2.2E-05 1E-05 0.4659534 4E-07 0 0.0659934 1.6E-13 1.6E-13
2.16E-05 1E-05 0.49995 -4E-07 0 0.0339966 1.6E-13 6.4E-13
2.12E-05 1E-05 0.5329467 -4E-07 0 0.0329967 1.6E-13 1.44E-12
2.12E-05 1.04E-05 0.5659434 0 4E-07 0.0329967 1.6E-13 1.6E-12
2.08E-05 1E-05 0.59994 -4E-07 -4E-07 0.0339965999999999 3.2E-13 2.56E-12
12
7.6E-06 2.56E-05 0 0 0 0 0 0
7.6E-06 2.56E-05 0.0669933 0 0 0.0669933 0 0
7.6E-06 2.6E-05 0.1339866 0 4E-07 0.0669933 1.6E-13 1.6E-13
7.6E-06 2.6E-05 0.19998 0 0 0.0659934 0 1.6E-13
7.6E-06 2.6E-05 0.29997 0 0 0.09999 0 1.6E-13
8E-06 2.6E-05 0.3329667 4E-07 0 0.0329967 1.6E-13 3.2E-13
8.4E-06 2.64E-05 0.3669633 4E-07 4E-07 0.0339966 3.2E-13 1.28E-12
7.6E-06 2.64E-05 0.39996 -8E-07 0 0.0329967 6.4E-13 6.4E-13
7.2E-06 2.64E-05 0.49995 -4E-07 0 0.09999 1.6E-13 8E-13
8E-06 2.64E-05 0.5329467 8E-07 0 0.0329967 6.4E-13 8E-13
1.08E-05 2.48E-05 0.5659434 2.8E-06 -1.6E-06 0.0329967 1.04E-11 1.088E-11
1.08E-05 2.36E-05 0.59994 0 -1.2E-06 0.0339965999999999 1.44E-12 1.424E-11
16
4.28E-05 3.48E-05 0 0 0 0 0 0
4.28E-05 3.52E-05 0.0329967 0 4E-07 0.0329967 1.6E-13 1.6E-13
4.2E-05 3.52E-05 0.0669933 -8E-07 0 0.0339966 6.4E-13 8E-13
4.2E-05 3.4E-05 0.09999 0 -1.2E-06 0.0329967 1.44E-12 1.28E-12
4.12E-05 3.32E-05 0.1669833 -8E-07 -8E-07 0.0669933 1.28E-12 5.12E-12
