x y time dx dy dt dr^2 TotalDisplacementSquared
11
5.64E-05 3.72E-05 0 0 0 0 0 0
5.64E-05 3.68E-05 0.1630163 0 -4E-07 0.1630163 1.6E-13 1.6E-13
5.64E-05 3.72E-05 0.3270327 0 4E-07 0.1640164 1.6E-13 0
5.64E-05 3.68E-05 0.4910491 0 -4E-07 0.1640164 1.6E-13 1.6E-13
5.64E-05 3.72E-05 0.6550655 0 4E-07 0.1640164 1.6E-13 0
5.64E-05 3.8E-05 0.8190819 0 8E-07 0.1640164 6.4E-13 6.4E-13
5.6E-05 3.8E-05 0.9820982 -4E-07 0 0.1630163 1.6E-13 8E-13
5.48E-05 3.8E-05 1.4741474 -1.2E-06 0 0.4920492 1.44E-12 3.2E-12
5.48E-05 3.8E-05 1.6371637 0 0 0.1630163 0 3.2E-12
5.48E-05 3.76E-05 1.9651965 0 -4E-07 0.3280328 1.6E-13 2.72E-12
5.56E-05 3.72E-05 2.1292129 8E-07 -4E-07 0.1640164 8E-13 6.4E-13
11
7.24E-05 6.4E-05 0 0 0 0 0 0
7.32E-05 6.4E-05 0.4910491 8E-07 0 0.4910491 6.4E-13 6.4E-13
7.36E-05 6.4E-05 0.8190819 4E-07 0 0.3280328 1.6E-13 1.44E-12
7.36E-05 6.44E-05 0.9820982 0 4E-07 0.1630163 1.6E-13 1.6E-12
7.32E-05 6.52E-05 1.310131 -4E-07 8E-07 0.3280328 8E-13 2.08E-12
7.32E-05 6.56E-05 1.4741474 0 4E-07 0.1640164 1.6E-13 3.2E-12
7.28E-05 6.6E-05 1.6381638 -4E-07 4E-07 0.1640164 3.2E-13 4.16E-12
7.2E-05 6.6E-05 1.8011801 -8E-07 0 0.1630163 6.4E-13 4.16E-12
7.16E-05 6.6E-05 1.9651965 -4E-07 0 0.1640164 1.6E-13 4.64E-12
7.12E-05 6.6E-05 2.1292129 -4E-07 0 0.1640164 1.6E-13 5.44E-12
7.08E-05 6.56E-05 2.2932293 -4E-07 -4E-07 0.1640164 3.2E-13 5.12E-12
11
3.92E-05 2.12E-05 0 0 0 0 0 0
3.88E-05 2.08E-05 0.1640164 -4E-07 -4E-07 0.1640164 3.2E-13 3.2E-13
3.88E-05 2.08E-05 0.3280328 0 0 0.1640164 0 3.2E-13
3.96E-05 2.08E-05 0.4910491 8E-07 0 0.1630163 6.4E-13 3.2E-13
4E-05 2.08E-05 0.6550655 4E-07 0 0.1640164 1.6E-13 8E-13
4E-05 2.08E-05 0.8190819 0 0 0.1640164 0 8E-13
4E-05 2.12E-05 0.9830983 0 4E-07 0.1640164 1.6E-13 6.4E-13
3.96E-05 2.12E-05 1.1471147 -4E-07 0 0.1640164 1.6E-13 1.6E-13
3.92E-05 2.08E-05 1.310131 -4E-07 -4E-07 0.1630163 3.2E-13 1.6E-13
3.84E-05 1.88E-05 1.8021802 -8E-07 -2E-06 0.4920492 4.64E-12 6.4E-12
3.84E-05 1.8E-05 1.9661966 0 -8E-07 0.1640164 6.4E-13 1.088E-11
12
5.88E-05 4.32E-05 0 0 0 0 0 0
5.88E-05 4.32E-05 0.3270327 0 0 0.3270327 0 0
5.88E-05 4.4E-05 0.4910491 0 8E-07 0.1640164 6.4E-13 6.4E-13
5.84E-05 4.52E-05 0.8190819 -4E-07 1.2E-06 0.3280328 1.6E-12 4.16E-12
5.88E-05 4.6E-05 0.9830983 4E-07 8E-07 0.1640164 8E-13 7.84E-12
6E-05 4.68E-05 1.310131 1.2E-06 8E-07 0.3270327 2.08E-12 1.44E-11
6.12E-05 4.76E-05 1.8011801 1.2E-06 8E-07 0.4910491 2.08E-12 2.512E-11
