x y time dx dy dt dr^2 TotalDisplacementSquared
13
4.52E-05 1.32E-05 0 0 0 0 0 0
4.44E-05 1.32E-05 0.047 -8E-07 0 0.047 6.4E-13 6.4E-13
4.44E-05 1.28E-05 0.093 0 -4E-07 0.046 1.6E-13 8E-13
4.52E-05 1.32E-05 0.139 8E-07 4E-07 0.046 8E-13 0
4.52E-05 1.28E-05 0.186 0 -4E-07 0.047 1.6E-13 1.6E-13
4.48E-05 1.2E-05 0.325 -4E-07 -8E-07 0.139 8E-13 1.6E-12
4.52E-05 1.2E-05 0.418 4E-07 0 0.093 1.6E-13 1.44E-12
4.52E-05 1.2E-05 0.465 0 0 0.047 0 1.44E-12
4.56E-05 1.2E-05 0.557 4E-07 0 0.092 1.6E-13 1.6E-12
4.56E-05 1.2E-05 0.604 0 0 0.047 0 1.6E-12
4.6E-05 1.2E-05 0.65 4E-07 0 0.046 1.6E-13 2.08E-12
4.6E-05 1.24E-05 0.697 0 4E-07 0.0469999999999999 1.6E-13 1.28E-12
4.6E-05 1.2E-05 0.743 0 -4E-07 0.046 1.6E-13 2.08E-12
11
4.28E-05 7.4E-05 0 0 0 0 0 0
4.28E-05 7.36E-05 0.046 0 -4E-07 0.046 1.6E-13 1.6E-13
4.36E-05 7.4E-05 0.092 8E-07 4E-07 0.046 8E-13 6.4E-13
4.4E-05 7.4E-05 0.139 4E-07 0 0.047 1.6E-13 1.44E-12
4.4E-05 7.4E-05 0.185 0 0 0.046 0 1.44E-12
4.44E-05 7.4E-05 0.325 4E-07 0 0.14 1.6E-13 2.56E-12
4.44E-05 7.36E-05 0.371 0 -4E-07 0.046 1.6E-13 2.72E-12
4.32E-05 7.4E-05 0.417 -1.2E-06 4E-07 0.046 1.6E-12 1.6E-13
4.32E-05 7.4E-05 0.464 0 0 0.047 0 1.6E-13
4.4E-05 7.4E-05 0.51 8E-07 0 0.046 6.4E-13 1.44E-12
4.44E-05 7.4E-05 0.557 4E-07 0 0.0469999999999999 1.6E-13 2.56E-12
11
3.88E-05 2.2E-05 0 0 0 0 0 0
3.8E-05 2.2E-05 0.14 -8E-07 0 0.14 6.4E-13 6.4E-13
3.8E-05 2.16E-05 0.186 0 -4E-07 0.046 1.6E-13 8E-13
3.88E-05 2.2E-05 0.233 8E-07 4E-07 0.047 8E-13 0
3.88E-05 2.2E-05 0.279 0 0 0.046 0 0
3.88E-05 2.16E-05 0.325 0 -4E-07 0.046 1.6E-13 1.6E-13
3.88E-05 2.08E-05 0.372 0 -8E-07 0.047 6.4E-13 1.44E-12
3.88E-05 2.08E-05 0.418 0 0 0.046 0 1.44E-12
3.88E-05 2.12E-05 0.465 0 4E-07 0.047 1.6E-13 6.4E-13
3.88E-05 2.08E-05 0.511 0 -4E-07 0.046 1.6E-13 1.44E-12
3.88E-05 2.12E-05 0.557 0 4E-07 0.0459999999999999 1.6E-13 6.4E-13
12
6.6E-05 5.48E-05 0 0 0 0 0 0
6.68E-05 5.44E-05 0.047 8E-07 -4E-07 0.047 8E-13 8E-13
6.64E-05 5.36E-05 0.093 -4E-07 -8E-07 0.046 8E-13 1.6E-12
6.64E-05 5.36E-05 0.14 0 0 0.047 0 1.6E-12
6.68E-05 5.36E-05 0.186 4E-07 0 0.046 1.6E-13 2.08E-12
6.68E-05 5.44E-05 0.279 0 8E-07 0.093 6.4E-13 8E-13
6.68E-05 5.44E-05 0.325 0 0 0.046 0 8E-13
6.68E-05 5.4E-05 0.464 0 -4E-07 0.139 1.6E-13 1.28E-12
6.68E-05 5.36E-05 0.511 0 -4E-07 0.047 1.6E-13 2.08E-12
6.68E-05 5.36E-05 0.604 0 0 0.093 0 2.08E-12
6.64E-05 5.44E-05 0.65 -4E-07 8E-07 0.046 8E-13 3.2E-13
6.68E-05 5.56E-05 0.697 4E-07 1.2E-06 0.0469999999999999 1.6E-12 1.28E-12
12
6.68E-05 5.36E-05 0 0 0 0 0 0
6.68E-05 5.4E-05 0.093 0 4E-07 0.093 1.6E-13 1.6E-13
6.68E-05 5.44E-05 0.186 0 4E-07 0.093 1.6E-13 6.4E-13
6.68E-05 5.36E-05 0.232 0 -8E-07 0.046 6.4E-13 0
6.64E-05 5.36E-05 0.278 -4E-07 0 0.046 1.6E-13 1.6E-13
6.68E-05 5.4E-05 0.325 4E-07 4E-07 0.047 3.2E-13 1.6E-13
6.6E-05 5.4E-05 0.371 -8E-07 0 0.046 6.4E-13 8E-13
6.6E-05 5.4E-05 0.418 0 0 0.047 0 8E-13
6.6E-05 5.36E-05 0.464 0 -4E-07 0.046 1.6E-13 6.4E-13
6.56E-05 5.36E-05 0.511 -4E-07 0 0.047 1.6E-13 1.44E-12
6.56E-05 5.36E-05 0.557 0 0 0.0459999999999999 0 1.44E-12
6.64E-05 5.36E-05 0.603 8E-07 0 0.046 6.4E-13 1.6E-13
11
6.64E-05 5.48E-05 0 0 0 0 0 0
6.64E-05 5.48E-05 0.093 0 0 0.093 0 0
6.68E-05 5.44E-05 0.186 4E-07 -4E-07 0.093 3.2E-13 3.2E-13
6.68E-05 5.44E-05 0.233 0 0 0.047 0 3.2E-13
6.64E-05 5.44E-05 0.279 -4E-07 0 0.046 1.6E-13 1.6E-13
6.6E-05 5.44E-05 0.418 -4E-07 0 0.139 1.6E-13 3.2E-13
6.6E-05 5.48E-05 0.558 0 4E-07 0.14 1.6E-13 1.6E-13
6.6E-05 5.52E-05 0.697 0 4E-07 0.139 1.6E-13 3.2E-13
6.6E-05 5.52E-05 0.743 0 0 0.046 0 3.2E-13
6.56E-05 5.56E-05 0.79 -4E-07 4E-07 0.0469999999999999 3.2E-13 1.28E-12
6.52E-05 5.56E-05 0.836 -4E-07 0 0.046 1.6E-13 2.08E-12
13
4.44E-05 1.32E-05 0 0 0 0 0 0
4.44E-05 1.28E-05 0.046 0 -4E-07 0.046 1.6E-13 1.6E-13
4.48E-05 1.24E-05 0.093 4E-07 -4E-07 0.047 3.2E-13 8E-13
4.52E-05 1.2E-05 0.139 4E-07 -4E-07 0.046 3.2E-13 2.08E-12
4.56E-05 1.2E-05 0.186 4E-07 0 0.047 1.6E-13 2.88E-12
4.56E-05 1.2E-05 0.232 0 0 0.046 0 2.88E-12
4.56E-05 1.2E-05 0.325 0 0 0.093 0 2.88E-12
4.48E-05 1.28E-05 0.371 -8E-07 8E-07 0.046 1.28E-12 3.2E-13
4.48E-05 1.28E-05 0.418 0 0 0.047 0 3.2E-13
4.52E-05 1.24E-05 0.464 4E-07 -4E-07 0.046 3.2E-13 1.28E-12
4.56E-05 1.32E-05 0.511 4E-07 8E-07 0.047 8E-13 1.44E-12
4.6E-05 1.28E-05 0.557 4E-07 -4E-07 0.0459999999999999 3.2E-13 2.72E-12
4.76E-05 1.2E-05 0.604 1.6E-06 -8E-07 0.047 3.2E-12 1.168E-11
11
6.44E-05 5.52E-05 0 0 0 0 0 0
6.52E-05 5.52E-05 0.139 8E-07 0 0.139 6.4E-13 6.4E-13
6.52E-05 5.52E-05 0.185 0 0 0.046 0 6.4E-13
6.56E-05 5.52E-05 0.232 4E-07 0 0.047 1.6E-13 1.44E-12
6.56E-05 5.52E-05 0.371 0 0 0.139 0 1.44E-12
6.56E-05 5.52E-05 0.464 0 0 0.093 0 1.44E-12
6.6E-05 5.52E-05 0.557 4E-07 0 0.093 1.6E-13 2.56E-12
6.6E-05 5.52E-05 0.603 0 0 0.046 0 2.56E-12
6.52E-05 5.56E-05 0.65 -8E-07 4E-07 0.047 8E-13 8E-13
6.52E-05 5.52E-05 0.743 0 -4E-07 0.093 1.6E-13 6.4E-13
6.52E-05 5.6E-05 0.835 0 8E-07 0.092 6.4E-13 1.28E-12
11
8.4E-06 2.68E-05 0 0 0 0 0 0
8E-06 2.68E-05 0.093 -4E-07 0 0.093 1.6E-13 1.6E-13
7.2E-06 2.6E-05 0.139 -8E-07 -8E-07 0.046 1.28E-12 2.08E-12
7.2E-06 2.48E-05 0.185 0 -1.2E-06 0.046 1.44E-12 5.44E-12
7.2E-06 2.48E-05 0.232 0 0 0.047 0 5.44E-12
8E-06 2.52E-05 0.278 8E-07 4E-07 0.046 8E-13 2.72E-12
8.4E-06 2.6E-05 0.371 4E-07 8E-07 0.093 8E-13 6.4E-13
8.4E-06 2.56E-05 0.418 0 -4E-07 0.047 1.6E-13 1.44E-12
8.4E-06 2.56E-05 0.51 0 0 0.092 0 1.44E-12
8.4E-06 2.52E-05 0.603 0 -4E-07 0.093 1.6E-13 2.56E-12
8.8E-06 2.48E-05 0.743 4E-07 -4E-07 0.14 3.2E-13 4.16E-12
11
6.44E-05 5.72E-05 0 0 0 0 0 0
6.44E-05 5.72E-05 0.139 0 0 0.139 0 0
6.48E-05 5.64E-05 0.232 4E-07 -8E-07 0.093 8E-13 8E-13
6.48E-05 5.52E-05 0.325 0 -1.2E-06 0.093 1.44E-12 4.16E-12
6.44E-05 5.52E-05 0.371 -4E-07 0 0.046 1.6E-13 4E-12
6.44E-05 5.56E-05 0.418 0 4E-07 0.047 1.6E-13 2.56E-12
6.44E-05 5.56E-05 0.511 0 0 0.093 0 2.56E-12
6.52E-05 5.56E-05 0.604 8E-07 0 0.093 6.4E-13 3.2E-12
6.52E-05 5.56E-05 0.65 0 0 0.046 0 3.2E-12
6.52E-05 5.52E-05 0.697 0 -4E-07 0.0469999999999999 1.6E-13 4.64E-12
6.56E-05 5.52E-05 0.836 4E-07 0 0.139 1.6E-13 5.44E-12
11
7.6E-06 2.6E-05 0 0 0 0 0 0
8.4E-06 2.56E-05 0.093 8E-07 -4E-07 0.093 8E-13 8E-13
8E-06 2.52E-05 0.139 -4E-07 -4E-07 0.046 3.2E-13 8E-13
8.4E-06 2.6E-05 0.278 4E-07 8E-07 0.139 8E-13 6.4E-13
8.8E-06 2.6E-05 0.371 4E-07 0 0.093 1.6E-13 1.44E-12
8.4E-06 2.56E-05 0.418 -4E-07 -4E-07 0.047 3.2E-13 8E-13
7.6E-06 2.52E-05 0.557 -8E-07 -4E-07 0.139 8E-13 6.4E-13
7.6E-06 2.48E-05 0.65 0 -4E-07 0.0930000000000001 1.6E-13 1.44E-12
7.6E-06 2.56E-05 0.743 0 8E-07 0.093 6.4E-13 1.6E-13
8E-06 2.52E-05 0.789 4E-07 -4E-07 0.0459999999999999 3.2E-13 8E-13
7.6E-06 2.4E-05 0.835 -4E-07 -1.2E-06 0.046 1.6E-12 4E-12
13
5.96E-05 2.88E-05 0 0 0 0 0 0
6.04E-05 2.92E-05 0.093 8E-07 4E-07 0.093 8E-13 8E-13
6.04E-05 2.88E-05 0.139 0 -4E-07 0.046 1.6E-13 6.4E-13
5.96E-05 2.8E-05 0.232 -8E-07 -8E-07 0.093 1.28E-12 6.4E-13
5.92E-05 2.8E-05 0.279 -4E-07 0 0.047 1.6E-13 8E-13
5.88E-05 2.8E-05 0.325 -4E-07 0 0.046 1.6E-13 1.28E-12
5.88E-05 2.84E-05 0.371 0 4E-07 0.046 1.6E-13 8E-13
5.88E-05 2.92E-05 0.464 0 8E-07 0.093 6.4E-13 8E-13
5.88E-05 2.88E-05 0.511 0 -4E-07 0.047 1.6E-13 6.4E-13
5.96E-05 2.92E-05 0.557 8E-07 4E-07 0.0459999999999999 8E-13 1.6E-13
5.96E-05 2.92E-05 0.603 0 0 0.046 0 1.6E-13
5.92E-05 2.88E-05 0.696 -4E-07 -4E-07 0.093 3.2E-13 1.6E-13
6E-05 2.88E-05 0.743 8E-07 0 0.047 6.4E-13 1.6E-13
11
3.88E-05 7.32E-05 0 0 0 0 0 0
3.88E-05 7.2E-05 0.046 0 -1.2E-06 0.046 1.44E-12 1.44E-12
3.88E-05 6.84E-05 0.185 0 -3.6E-06 0.139 1.296E-11 2.304E-11
3.92E-05 6.84E-05 0.278 4E-07 0 0.093 1.6E-13 2.32E-11
3.88E-05 6.84E-05 0.371 -4E-07 0 0.093 1.6E-13 2.304E-11
3.88E-05 6.8E-05 0.464 0 -4E-07 0.093 1.6E-13 2.704E-11
3.96E-05 6.8E-05 0.603 8E-07 0 0.139 6.4E-13 2.768E-11
3.96E-05 6.8E-05 0.649 0 0 0.046 0 2.768E-11
3.92E-05 6.84E-05 0.789 -4E-07 4E-07 0.14 3.2E-13 2.32E-11
3.88E-05 6.84E-05 0.928 -4E-07 0 0.139 1.6E-13 2.304E-11
3.96E-05 6.84E-05 0.974 8E-07 0 0.046 6.4E-13 2.368E-11
12
4.12E-05 7.48E-05 0 0 0 0 0 0
4.24E-05 7.48E-05 0.047 1.2E-06 0 0.047 1.44E-12 1.44E-12
4.24E-05 7.48E-05 0.093 0 0 0.046 0 1.44E-12
4.16E-05 7.48E-05 0.139 -8E-07 0 0.046 6.4E-13 1.6E-13
4.16E-05 7.36E-05 0.186 0 -1.2E-06 0.047 1.44E-12 1.6E-12
4.2E-05 7.4E-05 0.232 4E-07 4E-07 0.046 3.2E-13 1.28E-12
4.2E-05 7.44E-05 0.279 0 4E-07 0.047 1.6E-13 8E-13
4.16E-05 7.48E-05 0.325 -4E-07 4E-07 0.046 3.2E-13 1.6E-13
4.16E-05 7.48E-05 0.372 0 0 0.047 0 1.6E-13
4.16E-05 7.48E-05 0.418 0 0 0.046 0 1.6E-13
4.24E-05 7.48E-05 0.464 8E-07 0 0.046 6.4E-13 1.44E-12
4.24E-05 7.36E-05 0.511 0 -1.2E-06 0.047 1.44E-12 2.88E-12
13
4.48E-05 1.4E-05 0 0 0 0 0 0
4.48E-05 1.2E-05 0.093 0 -2E-06 0.093 4E-12 4E-12
4.48E-05 1.2E-05 0.139 0 0 0.046 0 4E-12
4.44E-05 1.28E-05 0.232 -4E-07 8E-07 0.093 8E-13 1.6E-12
4.44E-05 1.32E-05 0.278 0 4E-07 0.046 1.6E-13 8E-13
4.48E-05 1.4E-05 0.418 4E-07 8E-07 0.14 8E-13 0
4.44E-05 1.36E-05 0.464 -4E-07 -4E-07 0.046 3.2E-13 3.2E-13
4.4E-05 1.28E-05 0.603 -4E-07 -8E-07 0.139 8E-13 2.08E-12
4.4E-05 1.28E-05 0.65 0 0 0.047 0 2.08E-12
4.4E-05 1.28E-05 0.696 0 0 0.0459999999999999 0 2.08E-12
4.36E-05 1.28E-05 0.743 -4E-07 0 0.047 1.6E-13 2.88E-12
4.36E-05 1.28E-05 0.835 0 0 0.092 0 2.88E-12
4.32E-05 1.28E-05 0.975 -4E-07 0 0.14 1.6E-13 4E-12
14
4.04E-05 1.88E-05 0 0 0 0 0 0
4E-05 1.84E-05 0.047 -4E-07 -4E-07 0.047 3.2E-13 3.2E-13
4.04E-05 1.84E-05 0.093 4E-07 0 0.046 1.6E-13 1.6E-13
4.08E-05 1.84E-05 0.232 4E-07 0 0.139 1.6E-13 3.2E-13
4.12E-05 1.88E-05 0.325 4E-07 4E-07 0.093 3.2E-13 6.4E-13
4.12E-05 1.84E-05 0.372 0 -4E-07 0.047 1.6E-13 8E-13
4.04E-05 1.84E-05 0.465 -8E-07 0 0.093 6.4E-13 1.6E-13
4.04E-05 1.84E-05 0.604 0 0 0.139 0 1.6E-13
4.04E-05 1.88E-05 0.697 0 4E-07 0.093 1.6E-13 0
4.04E-05 1.84E-05 0.743 0 -4E-07 0.046 1.6E-13 1.6E-13
4.08E-05 1.84E-05 0.836 4E-07 0 0.093 1.6E-13 3.2E-13
4.12E-05 1.84E-05 0.929 4E-07 0 0.093 1.6E-13 8E-13
4.08E-05 1.84E-05 1.022 -4E-07 0 0.0930000000000001 1.6E-13 3.2E-13
4.12E-05 1.84E-05 1.115 4E-07 0 0.093 1.6E-13 8E-13
12
6.6E-05 5.52E-05 0 0 0 0 0 0
6.48E-05 5.52E-05 0.093 -1.2E-06 0 0.093 1.44E-12 1.44E-12
6.48E-05 5.52E-05 0.139 0 0 0.046 0 1.44E-12
6.44E-05 5.52E-05 0.185 -4E-07 0 0.046 1.6E-13 2.56E-12
6.44E-05 5.52E-05 0.232 0 0 0.047 0 2.56E-12
6.52E-05 5.52E-05 0.278 8E-07 0 0.046 6.4E-13 6.4E-13
6.56E-05 5.52E-05 0.325 4E-07 0 0.047 1.6E-13 1.6E-13
6.56E-05 5.52E-05 0.464 0 0 0.139 0 1.6E-13
6.56E-05 5.52E-05 0.51 0 0 0.046 0 1.6E-13
6.56E-05 5.52E-05 0.603 0 0 0.093 0 1.6E-13
6.52E-05 5.6E-05 0.696 -4E-07 8E-07 0.093 8E-13 1.28E-12
6.52E-05 5.72E-05 0.789 0 1.2E-06 0.093 1.44E-12 4.64E-12
11
4.8E-05 3.52E-05 0 0 0 0 0 0
4.8E-05 3.52E-05 0.093 0 0 0.093 0 0
4.92E-05 3.52E-05 0.186 1.2E-06 0 0.093 1.44E-12 1.44E-12
4.92E-05 3.52E-05 0.232 0 0 0.046 0 1.44E-12
4.84E-05 3.56E-05 0.372 -8E-07 4E-07 0.14 8E-13 3.2E-13
4.88E-05 3.56E-05 0.418 4E-07 0 0.046 1.6E-13 8E-13
4.96E-05 3.52E-05 0.465 8E-07 -4E-07 0.047 8E-13 2.56E-12
4.96E-05 3.52E-05 0.511 0 0 0.046 0 2.56E-12
4.96E-05 3.52E-05 0.557 0 0 0.0459999999999999 0 2.56E-12
4.96E-05 3.56E-05 0.604 0 4E-07 0.047 1.6E-13 2.72E-12
5E-05 3.56E-05 0.697 4E-07 0 0.093 1.6E-13 4.16E-12
13
6.84E-05 1.48E-05 0 0 0 0 0 0
6.84E-05 1.44E-05 0.047 0 -4E-07 0.047 1.6E-13 1.6E-13
6.88E-05 1.4E-05 0.139 4E-07 -4E-07 0.092 3.2E-13 8E-13
6.88E-05 1.36E-05 0.279 0 -4E-07 0.14 1.6E-13 1.6E-12
6.92E-05 1.4E-05 0.325 4E-07 4E-07 0.046 3.2E-13 1.28E-12
6.92E-05 1.36E-05 0.371 0 -4E-07 0.046 1.6E-13 2.08E-12
6.96E-05 1.36E-05 0.464 4E-07 0 0.093 1.6E-13 2.88E-12
6.96E-05 1.4E-05 0.511 0 4E-07 0.047 1.6E-13 2.08E-12
6.96E-05 1.4E-05 0.557 0 0 0.0459999999999999 0 2.08E-12
6.92E-05 1.36E-05 0.696 -4E-07 -4E-07 0.139 3.2E-13 2.08E-12
6.88E-05 1.4E-05 0.743 -4E-07 4E-07 0.047 3.2E-13 8E-13
6.88E-05 1.4E-05 0.789 0 0 0.0459999999999999 0 8E-13
6.92E-05 1.36E-05 0.928 4E-07 -4E-07 0.139 3.2E-13 2.08E-12
11
4.72E-05 5.16E-05 0 0 0 0 0 0
4.76E-05 5.16E-05 0.046 4E-07 0 0.046 1.6E-13 1.6E-13
4.8E-05 5.12E-05 0.185 4E-07 -4E-07 0.139 3.2E-13 8E-13
4.72E-05 5.16E-05 0.278 -8E-07 4E-07 0.093 8E-13 0
4.68E-05 5.16E-05 0.325 -4E-07 0 0.047 1.6E-13 1.6E-13
4.68E-05 5.12E-05 0.371 0 -4E-07 0.046 1.6E-13 3.2E-13
4.72E-05 5.12E-05 0.418 4E-07 0 0.047 1.6E-13 1.6E-13
4.68E-05 5.12E-05 0.51 -4E-07 0 0.092 1.6E-13 3.2E-13
4.68E-05 5.12E-05 0.557 0 0 0.0469999999999999 0 3.2E-13
4.64E-05 5.2E-05 0.696 -4E-07 8E-07 0.139 8E-13 8E-13
4.6E-05 5.2E-05 0.742 -4E-07 0 0.046 1.6E-13 1.6E-12
15
6.4E-06 2.52E-05 0 0 0 0 0 0
6.4E-06 2.44E-05 0.047 0 -8E-07 0.047 6.4E-13 6.4E-13
6.4E-06 2.4E-05 0.093 0 -4E-07 0.046 1.6E-13 1.44E-12
6.8E-06 2.4E-05 0.186 4E-07 0 0.093 1.6E-13 1.6E-12
6.4E-06 2.48E-05 0.279 -4E-07 8E-07 0.093 8E-13 1.6E-13
5.6E-06 2.52E-05 0.372 -8E-07 4E-07 0.093 8E-13 6.4E-13
5.6E-06 2.48E-05 0.418 0 -4E-07 0.046 1.6E-13 8E-13
6E-06 2.44E-05 0.511 4E-07 -4E-07 0.093 3.2E-13 8E-13
6.4E-06 2.44E-05 0.604 4E-07 0 0.093 1.6E-13 6.4E-13
6.8E-06 2.52E-05 0.65 4E-07 8E-07 0.046 8E-13 1.6E-13
6.4E-06 2.32E-05 0.697 -4E-07 -2E-06 0.0469999999999999 4.16E-12 4E-12
6.4E-06 2.32E-05 0.743 0 0 0.046 0 4E-12
6.4E-06 2.32E-05 0.836 0 0 0.093 0 4E-12
6.8E-06 2.32E-05 0.883 4E-07 0 0.047 1.6E-13 4.16E-12
6.8E-06 2.32E-05 0.976 0 0 0.093 0 4.16E-12
11
4.32E-05 1.36E-05 0 0 0 0 0 0
4.24E-05 1.28E-05 0.139 -8E-07 -8E-07 0.139 1.28E-12 1.28E-12
4.28E-05 1.28E-05 0.232 4E-07 0 0.093 1.6E-13 8E-13
4.24E-05 1.28E-05 0.279 -4E-07 0 0.047 1.6E-13 1.28E-12
4.2E-05 1.28E-05 0.325 -4E-07 0 0.046 1.6E-13 2.08E-12
4.2E-05 1.28E-05 0.418 0 0 0.093 0 2.08E-12
4.2E-05 1.32E-05 0.464 0 4E-07 0.046 1.6E-13 1.6E-12
4.2E-05 1.32E-05 0.511 0 0 0.047 0 1.6E-12
4.16E-05 1.28E-05 0.557 -4E-07 -4E-07 0.0459999999999999 3.2E-13 3.2E-12
4.16E-05 1.28E-05 0.65 0 0 0.0930000000000001 0 3.2E-12
4.2E-05 1.36E-05 0.696 4E-07 8E-07 0.0459999999999999 8E-13 1.44E-12
11
