# dt (sec)	Amp1 (V)	Width1 (s)	Amp2 (V)	Width2 (s)
#
3.054800e-05	   0.61806	6.336978e-08	   0.58796	1.442249e-07
2.079600e-05	   0.64148	6.489454e-08	   0.59131	1.420135e-07
2.010400e-05	   0.68520	6.542633e-08	   0.58702	1.418446e-07
2.087600e-05	   0.64154	6.522790e-08	   0.59238	1.419454e-07
7.384000e-06	   0.69741	6.637476e-08	   0.60615	1.435239e-07
4.684000e-06	   0.76792	7.136821e-08	   0.56756	1.420836e-07
2.632000e-06	   0.66154	6.766911e-08	   0.58009	1.427476e-07
3.725200e-05	   0.71034	6.681100e-08	   0.57111	1.429784e-07
1.373600e-05	   0.78798	7.263892e-08	   0.57851	1.403520e-07
9.624000e-06	   0.71598	6.572318e-08	   0.58294	1.422357e-07
5.924000e-06	   0.72638	6.674220e-08	   0.58694	1.428137e-07
7.876000e-06	   0.63165	6.128686e-08	   0.58718	1.423486e-07
1.528000e-06	   0.64530	6.603767e-08	   0.58849	1.441927e-07
9.712000e-06	   0.71016	6.841183e-08	   0.57774	1.431535e-07
6.784000e-06	   0.72201	6.788433e-08	   0.57873	1.426353e-07
2.700800e-05	   0.63703	6.376494e-08	   0.57810	1.422802e-07
2.728000e-06	   0.59731	6.099320e-08	   0.57705	1.429022e-07
1.964000e-06	   0.69609	6.524783e-08	   0.58476	1.436537e-07
1.109600e-05	   0.62008	6.519871e-08	   0.56942	1.422425e-07
2.338400e-05	   0.75885	6.558148e-08	   0.58906	1.420124e-07
2.160400e-05	   0.68966	6.737201e-08	   0.59210	1.421230e-07
3.322000e-05	   0.73665	6.555253e-08	   0.58540	1.425284e-07
2.728800e-05	   0.71406	6.739699e-08	   0.59014	1.425975e-07
6.876000e-06	   0.79365	7.214779e-08	   0.59041	1.429677e-07
1.625200e-05	   0.66939	6.578132e-08	   0.58350	1.437103e-07
2.731600e-05	   0.83368	7.844056e-08	   0.60034	1.441813e-07
6.272000e-06	   0.73650	6.585513e-08	   0.58202	1.439052e-07
3.312800e-05	   0.80261	7.330520e-08	   0.57162	1.403955e-07
8.960000e-06	   0.82583	7.332291e-08	   0.59059	1.438501e-07
3.432800e-05	   0.65409	6.302368e-08	   0.58631	1.440286e-07
1.842800e-05	   0.71022	6.703155e-08	   0.58862	1.437687e-07
2.930000e-05	   0.65200	6.206622e-08	   0.58510	1.428922e-07
2.738800e-05	   0.69107	6.477650e-08	   0.58326	1.419165e-07
1.994400e-05	   0.75262	6.715730e-08	   0.59196	1.432500e-07
2.114800e-05	   0.71655	6.314969e-08	   0.58641	1.434694e-07
9.036000e-06	   0.67261	6.622304e-08	   0.59052	1.428974e-07
2.918800e-05	   0.63703	6.448715e-08	   0.58607	1.435020e-07
2.591600e-05	   0.67738	6.407921e-08	   0.58582	1.420782e-07
1.136400e-05	   0.72724	6.639490e-08	   0.59431	1.424075e-07
2.972800e-05	   0.72414	6.746111e-08	   0.58839	1.410294e-07
3.026800e-05	   0.66767	6.481562e-08	   0.58437	1.425438e-07
2.154000e-05	   0.65721	6.469362e-08	   0.59445	1.439491e-07
3.291600e-05	   0.65817	6.488680e-08	   0.58652	1.419461e-07
9.152000e-06	   0.69269	6.673577e-08	   0.59560	1.420350e-07
3.593200e-05	   0.67971	6.511254e-08	   0.57727	1.431708e-07
1.353600e-05	   0.67906	6.679967e-08	   0.58218	1.421421e-07
1.999200e-05	   0.62725	6.580637e-08	   0.59267	1.437238e-07
2.232800e-05	   0.73695	6.627218e-08	   0.58213	1.418188e-07
3.559600e-05	   0.65383	6.181636e-08	   0.58377	1.427662e-07
3.596000e-06	   0.61904	6.485264e-08	   0.57756	1.412558e-07
1.346400e-05	   0.75448	6.864557e-08	   0.59080	1.414217e-07
3.506000e-05	   0.62367	6.741436e-08	   0.58810	1.416787e-07
1.592800e-05	   0.70173	6.680559e-08	   0.60230	1.429387e-07
9.848000e-06	   0.72687	6.695584e-08	   0.57815	1.418225e-07
1.157200e-05	   0.72979	6.600743e-08	   0.59397	1.415734e-07
3.746000e-05	   0.68722	6.844294e-08	   0.58076	1.427079e-07
2.286400e-05	   0.72198	6.664671e-08	   0.56735	1.417591e-07
2.360000e-06	   0.68383	6.568254e-08	   0.59264	1.434099e-07
1.064800e-05	   0.75845	6.998253e-08	   0.59080	1.449843e-07
1.320800e-05	   0.65097	6.607029e-08	   0.60012	1.429552e-07
1.560000e-06	   0.79153	7.021965e-08	   0.59502	1.433839e-07
2.773200e-05	   0.69296	6.364971e-08	   0.58418	1.434249e-07
3.251600e-05	   0.67594	6.273296e-08	   0.57209	1.421691e-07
2.661200e-05	   0.68759	6.663018e-08	   0.58734	1.428503e-07
3.219200e-05	   0.61135	6.305398e-08	   0.58945	1.431977e-07
3.356800e-05	   0.79283	6.900766e-08	   0.58945	1.445407e-07
1.666000e-05	   0.71278	6.481519e-08	   0.58966	1.430886e-07
1.146400e-05	   0.73786	6.872060e-08	   0.58522	1.431334e-07
3.700000e-05	   0.62772	6.232800e-08	   0.58447	1.423558e-07
1.623200e-05	   0.61763	6.269277e-08	   0.58564	1.426785e-07
3.096000e-05	   0.64353	6.298843e-08	   0.60278	1.425472e-07
1.592000e-05	   0.73664	7.089683e-08	   0.57772	1.406951e-07
5.140000e-06	   0.71542	6.560499e-08	   0.57622	1.422720e-07
3.811200e-05	   0.67763	6.355778e-08	   0.59803	1.429404e-07
2.450800e-05	   0.72843	6.671263e-08	   0.60296	1.442234e-07
3.864400e-05	   0.67735	6.503926e-08	   0.59713	1.444890e-07
8.008000e-06	   0.62191	6.800223e-08	   0.57817	1.422279e-07
4.944000e-06	   0.66339	6.504535e-08	   0.58476	1.432862e-07
5.516000e-06	   0.66264	6.382536e-08	   0.58345	1.431783e-07
1.776000e-05	   0.68358	6.664552e-08	   0.60316	1.426335e-07
2.964000e-05	   0.67746	6.598398e-08	   0.58625	1.419055e-07
2.501200e-05	   0.71743	6.587745e-08	   0.58715	1.425978e-07
1.096800e-05	   0.66754	6.502220e-08	   0.58134	1.424342e-07
1.397600e-05	   0.65965	6.344975e-08	   0.57952	1.414899e-07
3.933200e-05	   0.66263	6.260545e-08	   0.59832	1.427024e-07
2.058400e-05	   0.61498	6.519633e-08	   0.59829	1.424884e-07
2.729200e-05	   0.72203	6.862181e-08	   0.59573	1.429658e-07
2.348800e-05	   0.68179	6.704358e-08	   0.57905	1.421029e-07
3.508000e-06	   0.66097	6.927581e-08	   0.59049	1.441625e-07
3.633600e-05	   0.66209	6.836813e-08	   0.58123	1.425083e-07
8.656000e-06	   0.70542	6.588066e-08	   0.57814	1.413782e-07
5.300000e-06	   0.45329	5.743838e-08	   0.58599	1.430661e-07
2.516800e-05	   0.71024	6.925905e-08	   0.57168	1.425928e-07
1.180000e-05	   0.72552	6.851001e-08	   0.57763	1.423830e-07
1.747200e-05	   0.76563	6.938208e-08	   0.59283	1.433795e-07
1.480400e-05	   0.74821	6.659864e-08	   0.60798	1.433081e-07
1.627200e-05	   0.72490	6.550129e-08	   0.59486	1.425065e-07
3.406800e-05	   0.79224	7.197916e-08	   0.58322	1.415654e-07
2.304000e-06	   0.64304	6.191720e-08	   0.58117	1.421006e-07
3.876400e-05	   0.59848	6.210659e-08	   0.60428	1.441913e-07
1.148000e-05	   0.69449	6.547711e-08	   0.58925	1.438670e-07
1.070400e-05	   0.60931	6.043431e-08	   0.58734	1.427471e-07
2.534400e-05	   0.74657	6.888115e-08	   0.60006	1.414224e-07
2.323200e-05	   0.77377	6.872799e-08	   0.60468	1.444499e-07
3.224800e-05	   0.70280	6.598829e-08	   0.59409	1.442827e-07
1.124000e-06	   0.63945	6.436876e-08	   0.23915	5.985874e-08
6.204000e-06	   0.65079	6.306761e-08	   0.58179	1.435891e-07
1.061600e-05	   0.72887	6.825524e-08	   0.58660	1.426002e-07
2.478800e-05	   0.63194	6.432741e-08	   0.58731	1.429093e-07
2.219600e-05	   0.63074	6.219770e-08	   0.59067	1.435482e-07
3.172400e-05	   0.66143	6.480471e-08	   0.57830	1.417086e-07
1.062800e-05	   0.73057	6.681435e-08	   0.58534	1.435923e-07
2.361200e-05	   0.72850	6.919431e-08	   0.59267	1.430771e-07
3.570800e-05	   0.63136	6.179458e-08	   0.59634	1.421461e-07
3.938400e-05	   0.64420	6.354023e-08	   0.58339	1.433387e-07
3.035600e-05	   0.74184	6.551722e-08	   0.58741	1.433007e-07
2.678800e-05	   0.55003	5.940428e-08	   0.57883	1.416924e-07
8.656000e-06	   0.57803	6.301965e-08	   0.57039	1.424873e-07
2.350000e-05	   0.67534	6.399951e-08	   0.60539	1.445746e-07
1.760400e-05	   0.78772	6.728754e-08	   0.59515	1.428167e-07
1.896000e-06	   0.74198	6.625296e-08	   0.58740	1.437543e-07
2.463200e-05	   0.72997	6.642538e-08	   0.58617	1.418366e-07
2.957600e-05	   0.66984	6.715196e-08	   0.58665	1.427042e-07
2.970000e-05	   0.63369	6.321706e-08	   0.57508	1.430227e-07
2.929200e-05	   0.60836	6.330182e-08	   0.58416	1.421726e-07
7.608000e-06	   0.66185	6.470999e-08	   0.58770	1.427981e-07
1.461600e-05	   0.70120	6.332630e-08	   0.58999	1.423078e-07
1.221200e-05	   0.58432	6.111191e-08	   0.58943	1.433851e-07
1.481200e-05	   0.56710	5.874793e-08	   0.59042	1.433257e-07
3.600800e-05	   0.66181	6.604420e-08	   0.59816	1.435464e-07
1.448400e-05	   0.74957	6.748905e-08	   0.58998	1.429730e-07
1.458800e-05	   0.67038	6.417548e-08	   0.58435	1.429830e-07
2.127200e-05	   0.67315	6.446384e-08	   0.58771	1.423640e-07
2.400000e-05	   0.67625	6.874572e-08	   0.61707	1.444376e-07
1.936400e-05	   0.65202	6.509664e-08	   0.59447	1.436218e-07
7.008000e-06	   0.77150	6.796755e-08	   0.58676	1.415546e-07
1.390000e-05	   0.67073	6.376453e-08	   0.59364	1.448119e-07
2.188000e-05	   0.76340	6.680197e-08	   0.59291	1.430995e-07
1.468000e-06	   0.69515	6.705926e-08	   0.24887	5.818713e-08
1.733200e-05	   0.62527	6.588269e-08	   0.58167	1.432948e-07
2.810800e-05	   0.76280	6.870543e-08	   0.59334	1.430150e-07
2.376000e-05	   0.71883	6.590597e-08	   0.58625	1.424606e-07
2.170400e-05	   0.64928	6.694727e-08	   0.59082	1.433992e-07
3.124400e-05	   0.69713	6.314596e-08	   0.58693	1.423540e-07
2.896400e-05	   0.67324	6.504798e-08	   0.58186	1.437671e-07
7.936000e-06	   0.62666	6.077860e-08	   0.59095	1.464482e-07
3.911600e-05	   0.62089	6.493274e-08	   0.59405	1.422455e-07
