Trigger Count=16175	Output Count=1359	Elapsed Time=05:00.001	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=142	Trigger level (V)=0.1200	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0250	Range (microseconds)=0.5000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=3.00E+7
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
3.200000E-8	0.196780	3.419108E-8	0.000000	0.000000	0.000000	6.800000E-8	0.042798	4.610722E-8	0.000000	0.000000	0.000000
2.800000E-8	0.192907	3.611627E-8	0.000000	0.000000	0.000000	6.400000E-8	0.044627	7.163280E-8	0.000000	0.000000	0.000000
2.400000E-8	0.257094	3.252508E-8	0.000000	0.000000	0.000000	5.600000E-8	0.341597	3.290505E-8	0.000000	0.000000	0.000000
0.000000	0.408354	4.149043E-8	0.000000	0.000000	0.000000	3.600000E-8	0.307780	4.053136E-8	0.000000	0.000000	0.000000
4.800000E-8	0.098181	4.675973E-8	0.000000	0.000000	0.000000	8.400000E-8	0.040479	2.711455E-8	0.000000	0.000000	0.000000
4.000000E-8	0.181309	2.796195E-8	0.000000	0.000000	0.000000	7.200000E-8	0.051077	2.873320E-8	0.000000	0.000000	0.000000
3.200000E-8	0.178630	3.211156E-8	0.000000	0.000000	0.000000	6.400000E-8	0.115807	3.712284E-8	0.000000	0.000000	0.000000
2.400000E-8	0.248707	3.555350E-8	0.000000	0.000000	0.000000	5.600000E-8	0.432765	4.509653E-8	0.000000	0.000000	0.000000
0.000000	0.464904	4.130372E-8	0.000000	0.000000	0.000000	4.000000E-8	0.090253	3.611085E-8	0.000000	0.000000	0.000000
2.000000E-8	0.219549	3.682219E-8	0.000000	0.000000	0.000000	5.200000E-8	0.646922	3.979929E-8	0.000000	0.000000	0.000000
8.000000E-9	0.367381	4.183969E-8	0.000000	0.000000	0.000000	4.800000E-8	0.066996	3.395486E-8	0.000000	0.000000	0.000000
4.400000E-8	0.117304	4.177523E-8	0.000000	0.000000	0.000000	8.000000E-8	0.030749	2.719851E-8	0.000000	0.000000	0.000000
3.200000E-8	0.191233	3.317275E-8	0.000000	0.000000	0.000000	6.400000E-8	0.099518	3.381898E-8	0.000000	0.000000	0.000000
3.600000E-8	0.155157	4.319827E-8	0.000000	0.000000	0.000000	6.400000E-8	0.390211	4.015755E-8	0.000000	0.000000	0.000000
2.400000E-8	0.199351	3.695176E-8	0.000000	0.000000	0.000000	6.400000E-8	0.035139	3.164369E-8	0.000000	0.000000	0.000000
4.400000E-8	0.120888	3.205502E-8	0.000000	0.000000	0.000000	8.000000E-8	0.097293	3.538843E-8	0.000000	0.000000	0.000000
1.600000E-8	0.391213	3.667890E-8	0.000000	0.000000	0.000000	5.600000E-8	0.130076	4.239805E-8	0.000000	0.000000	0.000000
4.000000E-8	0.125727	3.493429E-8	0.000000	0.000000	0.000000	7.600000E-8	0.122804	3.644623E-8	0.000000	0.000000	0.000000
1.200000E-8	0.435104	3.546877E-8	0.000000	0.000000	0.000000	5.200000E-8	0.073497	3.018597E-8	0.000000	0.000000	0.000000
0.000000	0.534213	4.090778E-8	0.000000	0.000000	0.000000	4.000000E-8	0.021407	7.236714E-8	0.000000	0.000000	0.000000
4.000000E-8	0.133124	3.401382E-8	0.000000	0.000000	0.000000	7.200000E-8	0.096807	6.172023E-8	0.000000	0.000000	0.000000
3.600000E-8	0.231721	2.974433E-8	0.000000	0.000000	0.000000	6.800000E-8	0.346746	3.627816E-8	0.000000	0.000000	0.000000
8.000000E-9	0.465176	3.355463E-8	0.000000	0.000000	0.000000	5.200000E-8	0.086917	4.192861E-8	0.000000	0.000000	0.000000
2.000000E-8	0.226228	3.834009E-8	0.000000	0.000000	0.000000	5.600000E-8	0.107293	3.369254E-8	0.000000	0.000000	0.000000
2.800000E-8	0.174782	3.806221E-8	0.000000	0.000000	0.000000	5.600000E-8	0.176194	3.310228E-8	0.000000	0.000000	0.000000
2.000000E-8	0.281020	3.061906E-8	0.000000	0.000000	0.000000	5.600000E-8	0.397622	4.483716E-8	0.000000	0.000000	0.000000
0.000000	0.536241	3.203272E-8	0.000000	0.000000	0.000000	2.000000E-8	0.038730	6.177364E-8	0.000000	0.000000	0.000000
0.000000	0.558516	3.243550E-8	0.000000	0.000000	0.000000	1.200000E-8	0.020884	3.435586E-8	0.000000	0.000000	0.000000
1.600000E-8	0.418032	3.061964E-8	0.000000	0.000000	0.000000	5.200000E-8	0.455052	3.705154E-8	0.000000	0.000000	0.000000
4.000000E-8	0.129187	4.148016E-8	0.000000	0.000000	0.000000	7.200000E-8	0.213762	3.474901E-8	0.000000	0.000000	0.000000
4.800000E-8	0.106848	3.330936E-8	0.000000	0.000000	0.000000	8.000000E-8	0.119811	2.987016E-8	0.000000	0.000000	0.000000
3.200000E-8	0.179874	3.817755E-8	0.000000	0.000000	0.000000	8.400000E-8	0.029302	4.530586E-8	0.000000	0.000000	0.000000
3.600000E-8	0.148047	3.216996E-8	0.000000	0.000000	0.000000	6.800000E-8	0.098838	3.810209E-8	0.000000	0.000000	0.000000
0.000000	0.625691	3.345464E-8	0.000000	0.000000	0.000000	1.600000E-8	0.412116	3.860198E-8	0.000000	0.000000	0.000000
0.000000	0.484471	3.642047E-8	0.000000	0.000000	0.000000	4.400000E-8	0.038669	3.017061E-8	0.000000	0.000000	0.000000
4.000000E-8	0.141945	2.968698E-8	0.000000	0.000000	0.000000	7.600000E-8	0.128071	3.224013E-8	0.000000	0.000000	0.000000
4.000000E-9	0.447067	3.287212E-8	0.000000	0.000000	0.000000	4.000000E-8	0.399417	3.405980E-8	0.000000	0.000000	0.000000
4.000000E-8	0.139014	2.949149E-8	0.000000	0.000000	0.000000	7.200000E-8	0.087137	6.368305E-8	0.000000	0.000000	0.000000
3.600000E-8	0.160616	3.229048E-8	0.000000	0.000000	0.000000	6.800000E-8	0.109328	3.289905E-8	0.000000	0.000000	0.000000
2.800000E-8	0.200853	3.493784E-8	0.000000	0.000000	0.000000	8.000000E-8	0.021686	2.478684E-8	0.000000	0.000000	0.000000
2.800000E-8	0.142141	5.042521E-8	0.000000	0.000000	0.000000	6.000000E-8	0.038338	4.959698E-8	0.000000	0.000000	0.000000
2.000000E-8	0.254835	3.823403E-8	0.000000	0.000000	0.000000	5.200000E-8	0.273591	4.618703E-8	0.000000	0.000000	0.000000
3.600000E-8	0.178139	3.432049E-8	0.000000	0.000000	0.000000	6.400000E-8	0.218511	4.241317E-8	0.000000	0.000000	0.000000
2.800000E-8	0.157487	4.162804E-8	0.000000	0.000000	0.000000	6.400000E-8	0.083026	3.036482E-8	0.000000	0.000000	0.000000
4.000000E-9	0.410496	3.388606E-8	0.000000	0.000000	0.000000	4.400000E-8	0.045577	3.560900E-8	0.000000	0.000000	0.000000
0.000000	0.330231	3.999502E-8	0.000000	0.000000	0.000000	3.200000E-8	0.182479	3.846653E-8	0.000000	0.000000	0.000000
3.200000E-8	0.312342	2.882099E-8	0.000000	0.000000	0.000000	7.200000E-8	0.009358	8.414634E-8	0.000000	0.000000	0.000000
4.000000E-9	0.482712	3.618603E-8	0.000000	0.000000	0.000000	4.800000E-8	0.267213	3.930002E-8	0.000000	0.000000	0.000000
1.200000E-8	0.168634	5.518290E-8	0.000000	0.000000	0.000000	4.800000E-8	0.099997	4.294591E-8	0.000000	0.000000	0.000000
4.000000E-8	0.148627	2.936899E-8	0.000000	0.000000	0.000000	6.800000E-8	0.168115	4.051864E-8	0.000000	0.000000	0.000000
2.800000E-8	0.322703	2.896756E-8	0.000000	0.000000	0.000000	6.000000E-8	0.176327	4.197807E-8	0.000000	0.000000	0.000000
8.000000E-9	0.403168	3.753782E-8	0.000000	0.000000	0.000000	4.800000E-8	0.012422	5.781692E-8	0.000000	0.000000	0.000000
0.000000	0.475123	3.845503E-8	0.000000	0.000000	0.000000	2.800000E-8	0.118969	2.862607E-8	0.000000	0.000000	0.000000
3.200000E-8	0.185680	3.365315E-8	0.000000	0.000000	0.000000	7.200000E-8	0.031163	6.511925E-8	0.000000	0.000000	0.000000
1.600000E-8	0.298214	3.857852E-8	0.000000	0.000000	0.000000	1.160000E-7	0.019883	3.568227E-8	0.000000	0.000000	0.000000
0.000000	0.446071	3.184704E-8	0.000000	0.000000	0.000000	3.600000E-8	0.032562	3.142073E-8	0.000000	0.000000	0.000000
1.600000E-8	0.356521	3.509235E-8	0.000000	0.000000	0.000000	5.200000E-8	0.480907	3.817549E-8	0.000000	0.000000	0.000000
2.800000E-8	0.110499	5.271279E-8	0.000000	0.000000	0.000000	6.800000E-8	0.074895	4.753075E-8	0.000000	0.000000	0.000000
1.200000E-8	0.206642	5.092247E-8	0.000000	0.000000	0.000000	4.400000E-8	0.078392	4.122562E-8	0.000000	0.000000	0.000000
0.000000	0.480619	4.117572E-8	0.000000	0.000000	0.000000	3.200000E-8	0.309742	5.364572E-8	0.000000	0.000000	0.000000
2.400000E-8	0.163660	4.071555E-8	0.000000	0.000000	0.000000	6.000000E-8	0.112012	4.193189E-8	0.000000	0.000000	0.000000
1.200000E-8	0.236827	3.466816E-8	0.000000	0.000000	0.000000	5.600000E-8	0.022640	3.123194E-8	0.000000	0.000000	0.000000
2.400000E-8	0.171199	4.844210E-8	0.000000	0.000000	0.000000	6.400000E-8	0.073524	3.189358E-8	0.000000	0.000000	0.000000
0.000000	0.405188	3.048301E-8	0.000000	0.000000	0.000000	2.400000E-8	0.081079	3.043680E-8	0.000000	0.000000	0.000000
0.000000	0.553515	3.376604E-8	0.000000	0.000000	0.000000	3.200000E-8	0.066973	4.357911E-8	0.000000	0.000000	0.000000
8.000000E-9	0.453610	3.987174E-8	0.000000	0.000000	0.000000	4.400000E-8	0.431468	3.575072E-8	0.000000	0.000000	0.000000
4.000000E-9	0.222885	5.060708E-8	0.000000	0.000000	0.000000	4.400000E-8	0.169245	3.117337E-8	0.000000	0.000000	0.000000
4.000000E-9	0.315320	4.745762E-8	0.000000	0.000000	0.000000	4.000000E-8	0.309737	3.335142E-8	0.000000	0.000000	0.000000
4.000000E-8	0.144676	3.163414E-8	0.000000	0.000000	0.000000	6.400000E-8	0.649418	4.112153E-8	0.000000	0.000000	0.000000
3.600000E-8	0.154127	3.534936E-8	0.000000	0.000000	0.000000	8.000000E-8	0.036479	5.106256E-8	0.000000	0.000000	0.000000
1.600000E-8	0.340536	3.895666E-8	0.000000	0.000000	0.000000	4.800000E-8	0.151481	3.639990E-8	0.000000	0.000000	0.000000
8.000000E-9	0.287972	4.792177E-8	0.000000	0.000000	0.000000	5.600000E-8	0.026460	2.651783E-8	0.000000	0.000000	0.000000
0.000000	0.287646	3.336490E-8	0.000000	0.000000	0.000000	4.000000E-9	0.370628	3.903061E-8	0.000000	0.000000	0.000000
8.000000E-9	0.482547	3.455389E-8	0.000000	0.000000	0.000000	4.400000E-8	0.390130	4.249822E-8	0.000000	0.000000	0.000000
4.000000E-8	0.151654	3.211625E-8	0.000000	0.000000	0.000000	7.200000E-8	0.043737	2.921664E-8	0.000000	0.000000	0.000000
1.600000E-8	0.392801	3.244865E-8	0.000000	0.000000	0.000000	6.000000E-8	0.031729	2.954813E-8	0.000000	0.000000	0.000000
8.000000E-9	0.319980	3.849528E-8	0.000000	0.000000	0.000000	4.400000E-8	0.367802	3.854287E-8	0.000000	0.000000	0.000000
