x y time dx dy dt dr^2 TotalDisplacementSquared
11
4.56E-05 4.92E-05 0 0 0 0 0 0
4.56E-05 4.92E-05 0.3280328 0 0 0.3280328 0 0
4.56E-05 4.92E-05 0.6560656 0 0 0.3280328 0 0
4.56E-05 4.88E-05 1.1471147 0 -4E-07 0.4910491 1.6E-13 1.6E-13
4.56E-05 4.88E-05 1.4751475 0 0 0.3280328 0 1.6E-13
4.56E-05 4.84E-05 1.9661966 0 -4E-07 0.4910491 1.6E-13 6.4E-13
4.56E-05 4.72E-05 2.4572457 0 -1.2E-06 0.4910491 1.44E-12 4E-12
4.56E-05 4.56E-05 2.7852785 0 -1.6E-06 0.3280328 2.56E-12 1.296E-11
4.56E-05 4.48E-05 3.1133113 0 -8E-07 0.3280328 6.4E-13 1.936E-11
4.56E-05 4.4E-05 3.7683768 0 -8E-07 0.6550655 6.4E-13 2.704E-11
4.56E-05 4.44E-05 3.9313931 0 4E-07 0.1630163 1.6E-13 2.304E-11
12
7.12E-05 6.52E-05 0 0 0 0 0 0
7.12E-05 6.52E-05 0.6550655 0 0 0.6550655 0 0
7.16E-05 6.56E-05 1.1461146 4E-07 4E-07 0.4910491 3.2E-13 3.2E-13
7.24E-05 6.56E-05 1.4741474 8E-07 0 0.3280328 6.4E-13 1.6E-12
7.28E-05 6.52E-05 1.6381638 4E-07 -4E-07 0.1640164 3.2E-13 2.56E-12
7.28E-05 6.52E-05 1.8011801 0 0 0.1630163 0 2.56E-12
7.2E-05 6.52E-05 2.1292129 -8E-07 0 0.3280328 6.4E-13 6.4E-13
7.12E-05 6.48E-05 2.620262 -8E-07 -4E-07 0.4910491 8E-13 1.6E-13
7.04E-05 6.48E-05 2.9482948 -8E-07 0 0.3280328 6.4E-13 8E-13
7.04E-05 6.48E-05 3.2753275 0 0 0.3270327 0 8E-13
7.04E-05 6.48E-05 3.9313931 0 0 0.6560656 0 8E-13
7.12E-05 6.48E-05 4.0944094 8E-07 0 0.1630163 6.4E-13 1.6E-13
11
3.6E-05 3.28E-05 0 0 0 0 0 0
3.6E-05 3.32E-05 0.1630163 0 4E-07 0.1630163 1.6E-13 1.6E-13
3.6E-05 3.28E-05 0.3270327 0 -4E-07 0.1640164 1.6E-13 0
3.6E-05 3.24E-05 0.4910491 0 -4E-07 0.1640164 1.6E-13 1.6E-13
3.6E-05 3.24E-05 0.6550655 0 0 0.1640164 0 1.6E-13
3.6E-05 3.2E-05 1.1461146 0 -4E-07 0.4910491 1.6E-13 6.4E-13
3.6E-05 3.16E-05 1.4741474 0 -4E-07 0.3280328 1.6E-13 1.44E-12
3.56E-05 3.16E-05 1.6371637 -4E-07 0 0.1630163 1.6E-13 1.6E-12
3.52E-05 3.16E-05 1.9651965 -4E-07 0 0.3280328 1.6E-13 2.08E-12
3.44E-05 3.24E-05 2.4562456 -8E-07 8E-07 0.4910491 1.28E-12 2.72E-12
3.36E-05 3.28E-05 2.620262 -8E-07 4E-07 0.1640164 8E-13 5.76E-12
11
7.6E-05 2.28E-05 0 0 0 0 0 0
7.6E-05 2.32E-05 0.3270327 0 4E-07 0.3270327 1.6E-13 1.6E-13
7.56E-05 2.4E-05 0.8190819 -4E-07 8E-07 0.4920492 8E-13 1.6E-12
7.6E-05 2.36E-05 0.9820982 4E-07 -4E-07 0.1630163 3.2E-13 6.4E-13
7.72E-05 2.24E-05 1.4741474 1.2E-06 -1.2E-06 0.4920492 2.88E-12 1.6E-12
7.92E-05 2.08E-05 2.1292129 2E-06 -1.6E-06 0.6550655 6.56E-12 1.424E-11
7.96E-05 1.96E-05 2.4562456 4E-07 -1.2E-06 0.3270327 1.6E-12 2.32E-11
7.92E-05 1.92E-05 2.620262 -4E-07 -4E-07 0.1640164 3.2E-13 2.32E-11
7.92E-05 1.88E-05 2.7842784 0 -4E-07 0.1640164 1.6E-13 2.624E-11
7.92E-05 1.68E-05 3.4393439 0 -2E-06 0.6550655 4E-12 4.624E-11
7.92E-05 1.48E-05 3.9313931 0 -2E-06 0.4920492 4E-12 7.424E-11
11
7.68E-05 4.12E-05 0 0 0 0 0 0
7.68E-05 4.08E-05 0.4910491 0 -4E-07 0.4910491 1.6E-13 1.6E-13
7.68E-05 4.04E-05 0.6550655 0 -4E-07 0.1640164 1.6E-13 6.4E-13
7.68E-05 3.96E-05 1.1461146 0 -8E-07 0.4910491 6.4E-13 2.56E-12
