x y time dx dy dt dr^2 TotalDisplacementSquared
17
8E-07 1.88E-05 0 0 0 0 0 0
3.6E-06 1.8E-05 0.6550655 2.8E-06 -8E-07 0.6550655 8.48E-12 8.48E-12
5.2E-06 1.8E-05 0.9830983 1.6E-06 0 0.3280328 2.56E-12 2E-11
6E-06 1.72E-05 1.1461146 8E-07 -8E-07 0.1630163 1.28E-12 2.96E-11
6.8E-06 1.64E-05 1.310131 8E-07 -8E-07 0.1640164 1.28E-12 4.176E-11
8E-06 1.56E-05 1.4741474 1.2E-06 -8E-07 0.1640164 2.08E-12 6.208E-11
8.4E-06 1.56E-05 1.6381638 4E-07 0 0.1640164 1.6E-13 6.8E-11
9.6E-06 1.56E-05 1.8021802 1.2E-06 0 0.1640164 1.44E-12 8.768E-11
1.08E-05 1.48E-05 1.9651965 1.2E-06 -8E-07 0.1630163 2.08E-12 1.16E-10
1.16E-05 1.48E-05 2.1292129 8E-07 0 0.1640164 6.4E-13 1.3264E-10
1.2E-05 1.4E-05 2.2932293 4E-07 -8E-07 0.1640164 8E-13 1.4848E-10
1.28E-05 1.4E-05 2.4572457 8E-07 0 0.1640164 6.4E-13 1.6704E-10
1.4E-05 1.32E-05 2.6212621 1.2E-06 -8E-07 0.1640164 2.08E-12 2.056E-10
1.64E-05 1.28E-05 2.7842784 2.4E-06 -4E-07 0.1630163 5.92E-12 2.7936E-10
1.68E-05 1.36E-05 2.9482948 4E-07 8E-07 0.1640164 8E-13 2.8304E-10
1.88E-05 1.28E-05 3.2763276 2E-06 -8E-07 0.3280328 4.64E-12 3.6E-10
2.12E-05 1.2E-05 3.6033603 2.4E-06 -8E-07 0.3270327 6.4E-12 4.624E-10
11
7.6E-06 1.64E-05 0 0 0 0 0 0
5.2E-06 1.64E-05 0.6550655 -2.4E-06 0 0.6550655 5.76E-12 5.76E-12
6.4E-06 1.56E-05 0.9830983 1.2E-06 -8E-07 0.3280328 2.08E-12 2.08E-12
7.2E-06 1.56E-05 1.1471147 8E-07 0 0.1640164 6.4E-13 8E-13
8.4E-06 1.64E-05 1.310131 1.2E-06 8E-07 0.1630163 2.08E-12 6.4E-13
9.2E-06 1.56E-05 1.4741474 8E-07 -8E-07 0.1640164 1.28E-12 3.2E-12
8.4E-06 1.8E-05 1.6381638 -8E-07 2.4E-06 0.1640164 6.4E-12 3.2E-12
1E-05 1.64E-05 1.8021802 1.6E-06 -1.6E-06 0.1640164 5.12E-12 5.76E-12
